AB All Market Real Return Portfolio Advisor Class ,(AMTYX),+11.64%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class 1 ,(AMTOX),+11.66%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class 2 ,(AMTTX),+11.83%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class A ,(AMTAX),+11.46%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class C ,(ACMTX),+10.95%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class I ,(AMTIX),+11.72%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class K ,(AMTKX),+11.44%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class R ,(AMTRX),+11.29%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB All Market Real Return Portfolio Class Z ,(AMTZX),+11.72%,Year-to-Date,World allocation,Style or Category,High,Morningstar Risk Rating™
AB Bond Inflation Strategy Advisor Class ,(ABNYX),+5.44%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class 1 ,(ABNOX),+5.30%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class 2 ,(ABNTX),+5.21%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class A ,(ABNAX),+5.45%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class C ,(ABNCX),+5.25%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class I ,(ANBIX),+5.29%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class K ,(ABNKX),+5.46%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Class R ,(ABNRX),+5.26%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Bond Inflation Strategy Fund Class Z ,(ABNZX),+5.29%,Year-to-Date,Inflation-protected bond,Style or Category,Below Average,Morningstar Risk Rating™
AB Credit Long/Short Portfolio Advisor Class ,(ALYSX),+3.89%,Year-to-Date,Long-short credit,Style or Category,--,Morningstar Risk Rating™
AB Credit Long/Short Portfolio Class A ,(ALASX),+3.70%,Year-to-Date,Long-short credit,Style or Category,--,Morningstar Risk Rating™
AB Credit Long/Short Portfolio Class C ,(ALCSX),+3.11%,Year-to-Date,Long-short credit,Style or Category,--,Morningstar Risk Rating™
AB Government Reserves Portfolio Class 1 ,(AGRXX),--,Year-to-Date,Money market-taxable,Style or Category,--,Morningstar Risk Rating™
